state,PerCapita
Goa,"4,35,959"
Sikkim,"4,03,376"
Delhi,"3,76,221"
Chandigarh,"3,30,015"
Haryana,"2,47,628"
Telangana,"2,33,325"
Karnataka,"2,23,175"
Kerala,"2,21,904"
Puducherry,"2,20,949"
Andaman and Nicobar Islands,"2,18,649"
Gujarat,"2,13,936"
Tamil Nadu,"2,13,396"
Uttarakhand,"2,02,895"
Maharashtra,"2,02,130"
Himachal Pradesh,"1,90,407"
Mizoram,"1,87,327"
Arunachal Pradesh,"1,69,742"
Andhra Pradesh,"1,68,480"
Punjab,"1,51,491"
Tripura,"1,29,675"
West Bengal,"1,21,463"
Nagaland,"1,20,518"
Rajasthan,"1,16,492"
Odisha,"1,09,730"
Chhattisgarh,"1,04,989"
Jammu and Kashmir,"1,04,889"
Madhya Pradesh,"98,418"
Assam,"86,801"
Manipur,"84,746"
Meghalaya,"82,182"
Jharkhand,"75,739"
Uttar Pradesh,"65,431"
Bihar,"46,292"
